drug name,side effect,side effect,side effect,side effect,side effect,interacts with,interacts with,interacts with,disease name,disease category,drug category,product name,company name,clinical trial title,clinical trial start date,clinical trial completion date,clinical trial participants,clinical trial status,clinical trial condition,clinical trial condition,clinical trial address,clinical trial institution,clinical trial address,clinical trial main researcher,clinical trial condition
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Adenocarcinoma,Cancer,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Complementary component deficiency,Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"IgG receptor I, phagocytic, familial deficiency of",Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Lupus erythematosus,Connective tissue disorder,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Lymphoma,Cancer,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Neutropenia,Hematological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Nonsmall cell lung cancer,Cancer,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,Viral infection,Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, 211980",Cancer,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
cetuximab,somnolence,headache,cough,renal failure,carcinoma,,,,"C1q deficiency, type A",Immunological,Antineoplastic agents,ERBITUX,ImClone LLC,Immune Response on Neoadjuvant Therapy in Non-small-cell Lung Cancer (NSCLC),2007.01.01,2011.06.01,41,Completed,"Carcinoma, Non-small-cell Lung",Laryngeal Neoplasms,Austria,Medical University of Vienna,"University Hospital, Internal Medicine",Wolfgang Hilbe,Mouth Neoplasms
