Mus_Name,Mus_ID,Obj_Name,Obj_ID,Obj_Len,Obj_Wid,Obj_height,Obj_Mat,Obj_GeoRef,Obj_country,Per_Name,Acq_year,Acq_month,Acq_date
Museum 1,RV 1184 421,boog,RV-1184-421,,,,hout; pees,Brazilians,boog,Amelia burggravin van Cavalcabo,1898,8,1
Museum 1,RV 1184 422,trofee,RV-1184-422,10,7,5.5,huid; hout; katoen; mensenhaar; veren,Jivaro,OORLOGSTROFEE VAN EEN GESCHROMPELDE HOOFD,Amelia burggravin van Cavalcabo,1898,8,1
Museum 1,RV 1194 1,kan,RV-1194-1,,,,aardewerk,Antilliaans,kan,Nationale Tentoonstelling van vrouwenarbeid,1898,9,1
Museum 1,RV 1194 2,kookkruik-stop,RV-1194-2,,,,aardewerk,Antilliaans,kookkruik stop,Nationale Tentoonstelling van vrouwenarbeid,1898,9,1
Museum 1,RV 1194 3,strottenhoofd,RV-1194-3,,,,dierlijk materiaal,Surinams,strottenhoofd van aap,Nationale Tentoonstelling van vrouwenarbeid,1898,9,1
Museum 1,RV 1194 4,beeld / vogel,RV-1194-4,9.3,11.3,,aardewerk,Karaiben,VOGELTJE,Nationale Tentoonstelling van vrouwenarbeid,1898,9,1
Museum 1,RV 1194 5,lendendoek,RV-1194-5,95,69,,katoen,Saramaka,DOEK OF PANDJE VOOR MANNEN,Nationale Tentoonstelling van vrouwenarbeid,1898,9,1
Museum 1,RV 1194 6,doek,RV-1194-6,,,,textiel,Marrons,doek,Nationale Tentoonstelling van vrouwenarbeid,1898,9,1
Museum 1,RV 1200 18,knots,RV-1200-18,69.7,8.3,2.2,hout,Guyanans (primitive tribes),knots,Vondelhuis der Notarissen,1898,11,1
Museum 2,,Steinbeilklinge,IV Ca 4577,9.5,4,2.5,Stein,Guatemala; St. Lucas,,Wilhelm Schleiden,1877,,
Museum 2,,Steinfigur,IV Ca 4578,14,5.2,6,Stein,Guatemala; St. Lucas,,Wilhelm Schleiden,1877,,
Museum 2,,Steinaufsatz,IV Ca 4579,25.1,22.6,18,Stein,Guatemala; Antigua,,Geppy (?) Herrera,1877,,
Museum 2,,Steinkopf,IV Ca 4580,17,13,9.5,Stein,Guatemala; Neu Guatemala,,Hermann Albert Schumacher,1877,,
Museum 2,,Reibstein (Fragment),IV Ca 4581,12,6,5.7,Stein,Guatemala; Utatlan (Santa Cruz del Quiche),,Adolf Bastian,1878,,
