"BGS,  DFID,  DPHE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundwater Studies of Arsenic Contamination in Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWDB Water Quality Monitoring Network Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 25 May 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE_ID,SAMPLE_FIELD_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,,As,Al,B_,Ba,Be,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Gd,HCO3,Ho,I,K,La,Li,Lu,Mg,Mn,Mo,Na,Nd,NH4-N,Ni,NO2-N,NO3-N,P,Pb,Pr,Rb,Sb,Si,Sm,Sn,SO4,Sr,Tb,Tl,Tm,U,V,Y,Yb,Zn
,,,,,,m,,,,,,,,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,ug/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,mg/L,mg/L,ug/L,mg/L,ug/L,mg/L,ug/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,mg/L,ug/L,ug/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
S98_01785,SAT-1,23/07/98,26.4790,88.5140,HTW,9,Rajshahi,Panchagarh,Tetulia,Satmara,Satmara,57790,S98_01785,1,7,< 0.01,0.031,0.05,13.6,0.28,0.013,30.6,0.18,< 0.5,0.6,1,0.01,< 0.01,< 0.006,0.07,0.06,< 0.01,34,< 0.005,0.0013,10.9,0.009,0.8,< 0.005,3.97,0.05,0.2,21.3,< 0.01,< 0.02,1.1,0.008,7.6,< 0.2,2.58,< 0.005,32,0.05,12.3,< 0.01,1,9.7,0.0786,< 0.005,0.06,< 0.005,0.16,< 0.2,0.03,< 0.008,10
S98_01786,130DA-2,,25.7000,88.5000,HTW,15,Rajshahi,Panchagarh,Boda,Boda,Boda,57725,S98_01786,2.2,2,< 0.01,0.017,< 0.05,12.8,0.19,0.006,10,0.32,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.1,6.21,< 0.01,68,< 0.005,0.0021,2.2,< 0.005,0.7,< 0.005,4.09,0.323,0.2,7.1,< 0.01,< 0.02,1,0.004,< 0.2,< 0.2,0.5,< 0.005,5.7,< 0.02,22,< 0.01,0.8,2.4,0.071,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.006,< 0.008,22
S98_01787,TA-2/B,20/07/98,24.0880,90.1700,HTW,37,Dhaka,Tangail,Mirzapur,Gurai,Gurai,39366,S98_01787,1.1,14,< 0.01,0.031,< 0.05,28.8,< 0.02,0.031,2.5,0.56,< 0.5,< 0.05,3,< 0.01,< 0.01,< 0.006,0.34,1.48,< 0.01,215,< 0.005,0.0078,0.8,0.017,4.8,< 0.005,11,0.63,0.2,25.1,0.01,< 0.02,11.6,< 0.004,< 0.2,< 0.2,0.43,0.006,0.7,0.03,25.1,< 0.01,1.9,1.1,0.18,< 0.005,< 0.01,< 0.005,0.48,3,0.029,< 0.008,20
S98_01788,BALI-3,23/07/98,26.0830,88.2790,HTW,18,Rajshahi,Thakurgaon,Baliadangi,Baliadanga,Baliadanga,59408,S98_01788,1.1,4,< 0.01,0.018,< 0.05,15.8,0.27,0.009,14.5,0.1,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.08,0.24,< 0.01,57,< 0.005,0.0012,2.6,0.011,0.7,< 0.005,4.22,0.032,< 0.1,11.7,< 0.01,< 0.02,1.4,0.018,3,< 0.2,2.84,< 0.005,1,< 0.02,11.5,< 0.01,1.3,6.3,0.0545,< 0.005,< 0.01,< 0.005,0.07,< 0.2,0.068,< 0.008,58
S98_01789,SALN-4,23/07/98,26.0540,88.5330,HTW,37,Rajshahi,Thakurgaon,Thakurgaon Sadar,Salander,Salander,59494,S98_01789,< 0.5,4,< 0.01,0.016,< 0.05,9.24,0.12,0.007,14.2,0.18,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.03,1.38,< 0.01,17,< 0.005,0.0013,4.2,< 0.005,3.1,< 0.005,2.42,0.085,< 0.1,7.2,< 0.01,< 0.02,0.8,0.079,3.9,< 0.2,0.78,< 0.005,1.7,< 0.02,15.5,< 0.01,0.8,4.4,0.0477,< 0.005,< 0.01,< 0.005,0.02,< 0.2,0.028,< 0.008,14
S98_01790,JA-4/B,19/07/98,24.9100,89.9460,HTW,26,Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur,Fulbaria,33936,S98_01790,1.7,7,< 0.01,0.046,< 0.05,20.6,< 0.02,0.016,14.5,0.14,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.14,0.26,< 0.01,127,< 0.005,0.0028,0.9,0.011,1,< 0.005,7.25,0.102,< 0.1,19.5,< 0.01,< 0.02,2.4,< 0.004,< 0.2,0.2,2.95,< 0.005,0.3,0.04,26.6,< 0.01,1,1.9,0.18,< 0.005,< 0.01,< 0.005,< 0.01,3.1,0.009,< 0.008,66
S98_01791,KABIR-5,24/07/98,25.9030,88.6000,HTW,30,Rajshahi,Dinajpur,Birganj,Birgong,Kbirashat,52712,S98_01791,< 0.5,2,< 0.01,0.015,< 0.05,13.7,0.12,0.007,16.7,0.28,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.06,0.17,< 0.01,56,< 0.005,0.001,1.6,< 0.005,2.2,< 0.005,6.57,0.142,< 0.1,9.9,< 0.01,< 0.02,1,0.008,3.3,< 0.2,0.65,< 0.005,0.3,< 0.02,15.1,< 0.01,1.2,1.6,0.078,< 0.005,< 0.01,< 0.005,0.05,< 0.2,0.01,< 0.008,17
S98_01792,RANI-6,23/07/98,25.9010,88.2540,HTW,30,Rajshahi,Thakurgaon,Ranisankail,Ranisanwail,Ranisanwail,59486,S98_01792,0.8,4,< 0.01,0.017,< 0.05,22.3,0.66,0.007,20.9,0.15,< 0.5,< 0.05,< 1,< 0.01,< 0.01,< 0.006,0.06,0.293,< 0.01,37,< 0.005,0.006,3.4,< 0.005,3,< 0.005,7.49,0.029,< 0.1,10.1,< 0.01,< 0.02,1.7,0.028,12.5,< 0.2,1.23,< 0.005,0.3,< 0.02,15.1,< 0.01,0.7,4.8,0.0951,< 0.005,< 0.01,< 0.005,0.15,< 0.2,0.022,< 0.008,
S98_01793,SIBRM-7,24/07/98,25.6650,88.6520,HTW,18,Rajshahi,Dinajpur,Dinajpur Sadar,Sibrampur,Sibrampur,52764,S98_01793,< 0.5,8,< 0.01,0.007,< 0.05,4.55,0.16,0.01,6.6,< 0.05,0.7,< 0.05,4,< 0.01,< 0.01,< 0.006,0.08,0.027,< 0.01,60,< 0.005,0.008,2.6,0.009,0.3,< 0.005,2.07,0.008,< 0.1,23,< 0.01,< 0.02,0.9,< 0.004,2.8,< 0.2,2.37,< 0.005,0.9,< 0.02,8.05,< 0.01,1.3,4.5,0.0199,< 0.005,< 0.01,< 0.005,0.03,0.6,0.042,< 0.008,14
