"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-01","0.00",",,S","67","H,,S","83",",,S","56",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-02","0.00",",,S","67","H,,S",,,"57",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-03","0.00",",,S","69","H,,S","83",",,S",,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-04","0.00",",,S","68","H,,S","84",",,S","59",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-05","0.00",",,S","70","H,,S","84",",,S","59",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-06","0.00",",,S","70","H,,S","83",",,S","60",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-07","0.00",",,S","70","H,,S","84",",,S","62",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-08","0.00",",,S","69","H,,S","83",",,S","62",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-09","0.00",",,S","68","H,,S","80",",,S","61",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-10","0.00",",,S","68","H,,S","78",",,S","61",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-11","0.00",",,S","69","H,,S","81",",,S","61",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-12","0.00",",,S","68","H,,S","80",",,S","60",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-13","0.00",",,S","65","H,,S","80",",,S",,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-14","0.00",",,S","63","H,,S","76",",,S","55",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-15","0.00",",,S","64","H,,S","78",",,S","54",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-16","0.00",",,S","62","H,,S","76",",,S","54",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-17","0.00",",,S","63","H,,S","78",",,S","53",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-01-18","0.00",",,S","68","H,,S","80",",,S","54",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-02-22","0.00",",,S","75","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-02-23","0.00",",,S","74","H,,S","90",",,S","61",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-02-24","0.00",",,S","74","H,,S","87",",,S","62",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-02-25","0.00",",,S","74","H,,S","85",",,S","64",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-02-28","0.00",",,S","76","H,,S","87",",,S","66",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-03-01","0.00",",,S","79","H,,S","90",",,S","70",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-08-03",,,"85","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2021-11-30","0.00",",,S","71","H,,S","87",",,S",,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-01-01","0.00",",,S","67","H,,S","81",",,S","58",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-07",,,"82","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-08",,,"86","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-09",,,"80","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-10","0.39",",,S","76","H,,S",,,"69",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-11","0.93",",,S","77","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-12","0.02",",,S","78","H,,S",,,"74",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-13","0.08",",,S","81","H,,S",,,"74",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-14","0.73",",,S","77","H,,S",,,"72",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-04-15","0.04",",,S","74","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-02","0.09",",,S","83","H,,S",,,"79",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-03","0.13",",,S","81","H,,S",,,"80",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-04","0.69",",,S","85","H,,S",,,"80",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-06","2.56",",,S","79","H,,S",,,"78",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-07","0.28",",,S","85","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-08","0.08",",,S","83","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-09","0.48",",,S","86","H,,S",,,"80",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-11","0.67",",,S","84","H,,S",,,"76",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-16","5.46",",,S","82","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-17","3.48",",,S","83","H,,S",,,"77",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-18","3.00",",,S","84","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-19","0.48",",,S","80","H,,S",,,,
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-07-22","0.48",",,S","89","H,,S",,,"80",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-08-08","0.40",",,S","86","H,,S",,,"77",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-08-09","0.01",",,S","85","H,,S",,,"79",",,S"
"BGM00041891","OSMANY INTERNATIONAL, BG","24.963","91.867","15.2","2022-08-10","0.01",",,S","85","H,,S",,,,
